Orthogroup	gbM	teM	Unmethylated	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_Unmethylated	percent_Unclassified	percent_Missing	cluster
N0.HOG0014942	15	3	18	11	2	49	0.306122448979592	0.0612244897959184	0.36734693877551	0.224489795918367	0.0408163265306122	1
N0.HOG0014943	7	3	26	9	0	45	0.155555555555556	0.0666666666666667	0.577777777777778	0.2	0	3
N0.HOG0014945	14	1	16	17	2	50	0.28	0.02	0.32	0.34	0.04	1
N0.HOG0014946	27	1	6	12	1	47	0.574468085106383	0.0212765957446809	0.127659574468085	0.25531914893617	0.0212765957446809	1
N0.HOG0014947	35	3	4	6	0	48	0.729166666666667	0.0625	0.0833333333333333	0.125	0	2
N0.HOG0014948	28	1	5	13	2	49	0.571428571428571	0.0204081632653061	0.102040816326531	0.26530612244898	0.0408163265306122	1
N0.HOG0014951	21	0	16	5	1	43	0.488372093023256	0	0.372093023255814	0.116279069767442	0.0232558139534884	1
N0.HOG0014953	4	1	16	23	3	47	0.0851063829787234	0.0212765957446809	0.340425531914894	0.48936170212766	0.0638297872340425	1
N0.HOG0014954	28	0	9	10	2	49	0.571428571428571	0	0.183673469387755	0.204081632653061	0.0408163265306122	2
N0.HOG0014955	37	2	2	2	3	46	0.804347826086957	0.0434782608695652	0.0434782608695652	0.0434782608695652	0.0652173913043478	2
N0.HOG0014956	38	0	2	2	1	43	0.883720930232558	0	0.0465116279069767	0.0465116279069767	0.0232558139534884	2
N0.HOG0014957	12	4	9	24	5	54	0.222222222222222	0.0740740740740741	0.166666666666667	0.444444444444444	0.0925925925925926	1
N0.HOG0014958	23	2	6	17	1	49	0.469387755102041	0.0408163265306122	0.122448979591837	0.346938775510204	0.0204081632653061	1
N0.HOG0014965	9	1	26	3	7	46	0.195652173913043	0.0217391304347826	0.565217391304348	0.0652173913043478	0.152173913043478	3
N0.HOG0014966	39	1	1	5	1	47	0.829787234042553	0.0212765957446809	0.0212765957446809	0.106382978723404	0.0212765957446809	2
N0.HOG0014967	10	2	19	23	2	56	0.178571428571429	0.0357142857142857	0.339285714285714	0.410714285714286	0.0357142857142857	1
N0.HOG0014972	35	0	6	6	2	49	0.714285714285714	0	0.122448979591837	0.122448979591837	0.0408163265306122	2
N0.HOG0014973	19	4	16	12	2	53	0.358490566037736	0.0754716981132075	0.30188679245283	0.226415094339623	0.0377358490566038	1
N0.HOG0014974	24	0	14	8	1	47	0.51063829787234	0	0.297872340425532	0.170212765957447	0.0212765957446809	1
N0.HOG0014975	3	2	30	8	4	47	0.0638297872340425	0.0425531914893617	0.638297872340426	0.170212765957447	0.0851063829787234	3
N0.HOG0014979	5	3	34	3	2	47	0.106382978723404	0.0638297872340425	0.723404255319149	0.0638297872340425	0.0425531914893617	3
N0.HOG0014980	13	0	16	15	5	49	0.26530612244898	0	0.326530612244898	0.306122448979592	0.102040816326531	1
N0.HOG0014981	19	1	21	8	1	50	0.38	0.02	0.42	0.16	0.02	1
N0.HOG0014982	33	3	6	7	1	50	0.66	0.06	0.12	0.14	0.02	2
N0.HOG0014983	32	0	4	11	3	50	0.64	0	0.08	0.22	0.06	1
N0.HOG0014984	15	4	20	12	5	56	0.267857142857143	0.0714285714285714	0.357142857142857	0.214285714285714	0.0892857142857143	1
N0.HOG0014985	35	0	4	6	0	45	0.777777777777778	0	0.0888888888888889	0.133333333333333	0	2
N0.HOG0014986	36	1	3	4	4	48	0.75	0.0208333333333333	0.0625	0.0833333333333333	0.0833333333333333	2
N0.HOG0014987	23	4	9	13	1	50	0.46	0.08	0.18	0.26	0.02	1
N0.HOG0014988	0	1	32	13	1	47	0	0.0212765957446809	0.680851063829787	0.276595744680851	0.0212765957446809	1
N0.HOG0014993	33	2	6	9	1	51	0.647058823529412	0.0392156862745098	0.117647058823529	0.176470588235294	0.0196078431372549	2
N0.HOG0014994	6	3	15	24	3	51	0.117647058823529	0.0588235294117647	0.294117647058824	0.470588235294118	0.0588235294117647	1
N0.HOG0014995	17	1	5	24	3	50	0.34	0.02	0.1	0.48	0.06	1
N0.HOG0014996	32	0	9	8	4	53	0.60377358490566	0	0.169811320754717	0.150943396226415	0.0754716981132075	2
N0.HOG0014997	22	1	7	18	2	50	0.44	0.02	0.14	0.36	0.04	1
N0.HOG0014998	4	2	23	23	2	54	0.0740740740740741	0.037037037037037	0.425925925925926	0.425925925925926	0.037037037037037	1
N0.HOG0014999	30	1	7	11	4	53	0.566037735849057	0.0188679245283019	0.132075471698113	0.207547169811321	0.0754716981132075	2
N0.HOG0015000	1	3	38	2	1	45	0.0222222222222222	0.0666666666666667	0.844444444444444	0.0444444444444444	0.0222222222222222	3
N0.HOG0015001	21	4	10	13	4	52	0.403846153846154	0.0769230769230769	0.192307692307692	0.25	0.0769230769230769	1
N0.HOG0015002	38	1	4	4	1	48	0.791666666666667	0.0208333333333333	0.0833333333333333	0.0833333333333333	0.0208333333333333	2
N0.HOG0015003	13	5	23	7	0	48	0.270833333333333	0.104166666666667	0.479166666666667	0.145833333333333	0	1
N0.HOG0015004	15	0	10	23	0	48	0.3125	0	0.208333333333333	0.479166666666667	0	1
N0.HOG0015005	8	3	10	29	0	50	0.16	0.06	0.2	0.58	0	1
N0.HOG0015006	23	1	6	15	2	47	0.48936170212766	0.0212765957446809	0.127659574468085	0.319148936170213	0.0425531914893617	1
N0.HOG0015007	39	3	7	3	0	52	0.75	0.0576923076923077	0.134615384615385	0.0576923076923077	0	2
N0.HOG0015008	12	0	12	22	1	47	0.25531914893617	0	0.25531914893617	0.468085106382979	0.0212765957446809	1
N0.HOG0015009	9	2	21	17	2	51	0.176470588235294	0.0392156862745098	0.411764705882353	0.333333333333333	0.0392156862745098	1
N0.HOG0015010	28	3	4	14	0	49	0.571428571428571	0.0612244897959184	0.0816326530612245	0.285714285714286	0	1
N0.HOG0015012	34	3	6	5	4	52	0.653846153846154	0.0576923076923077	0.115384615384615	0.0961538461538462	0.0769230769230769	2
N0.HOG0015013	16	2	9	22	1	50	0.32	0.04	0.18	0.44	0.02	1
N0.HOG0015014	20	3	13	15	2	53	0.377358490566038	0.0566037735849057	0.245283018867925	0.283018867924528	0.0377358490566038	1
N0.HOG0015019	9	3	19	20	4	55	0.163636363636364	0.0545454545454545	0.345454545454545	0.363636363636364	0.0727272727272727	1
N0.HOG0015020	6	0	14	24	4	48	0.125	0	0.291666666666667	0.5	0.0833333333333333	1
N0.HOG0015021	17	3	12	19	1	52	0.326923076923077	0.0576923076923077	0.230769230769231	0.365384615384615	0.0192307692307692	1
N0.HOG0015022	35	3	6	4	2	50	0.7	0.06	0.12	0.08	0.04	2
N0.HOG0015023	33	2	3	11	2	51	0.647058823529412	0.0392156862745098	0.0588235294117647	0.215686274509804	0.0392156862745098	2
N0.HOG0015024	2	1	25	19	3	50	0.04	0.02	0.5	0.38	0.06	1
N0.HOG0015029	34	3	2	6	1	46	0.739130434782609	0.0652173913043478	0.0434782608695652	0.130434782608696	0.0217391304347826	2
N0.HOG0015031	39	2	2	2	2	47	0.829787234042553	0.0425531914893617	0.0425531914893617	0.0425531914893617	0.0425531914893617	2
N0.HOG0015032	34	0	4	12	1	51	0.666666666666667	0	0.0784313725490196	0.235294117647059	0.0196078431372549	1
N0.HOG0015033	29	3	10	8	3	53	0.547169811320755	0.0566037735849057	0.188679245283019	0.150943396226415	0.0566037735849057	2
N0.HOG0015034	14	3	12	22	2	53	0.264150943396226	0.0566037735849057	0.226415094339623	0.415094339622642	0.0377358490566038	1
N0.HOG0015035	14	4	13	20	3	54	0.259259259259259	0.0740740740740741	0.240740740740741	0.37037037037037	0.0555555555555556	1
N0.HOG0015036	12	5	18	15	1	51	0.235294117647059	0.0980392156862745	0.352941176470588	0.294117647058824	0.0196078431372549	1
N0.HOG0015037	22	2	13	12	1	50	0.44	0.04	0.26	0.24	0.02	1
N0.HOG0015038	6	1	14	27	1	49	0.122448979591837	0.0204081632653061	0.285714285714286	0.551020408163265	0.0204081632653061	1
N0.HOG0015039	8	2	17	21	1	49	0.163265306122449	0.0408163265306122	0.346938775510204	0.428571428571429	0.0204081632653061	1
N0.HOG0015040	1	1	21	24	5	52	0.0192307692307692	0.0192307692307692	0.403846153846154	0.461538461538462	0.0961538461538462	1
N0.HOG0015041	1	1	24	20	0	46	0.0217391304347826	0.0217391304347826	0.521739130434783	0.434782608695652	0	1
N0.HOG0015042	36	4	4	7	1	52	0.692307692307692	0.0769230769230769	0.0769230769230769	0.134615384615385	0.0192307692307692	2
N0.HOG0015047	25	0	7	18	1	51	0.490196078431373	0	0.137254901960784	0.352941176470588	0.0196078431372549	1
N0.HOG0015048	0	4	34	3	6	47	0	0.0851063829787234	0.723404255319149	0.0638297872340425	0.127659574468085	3
N0.HOG0015051	4	0	19	30	2	55	0.0727272727272727	0	0.345454545454545	0.545454545454545	0.0363636363636364	1
N0.HOG0015052	0	2	38	0	3	43	0	0.0465116279069767	0.883720930232558	0	0.0697674418604651	3
N0.HOG0015053	0	0	41	2	0	43	0	0	0.953488372093023	0.0465116279069767	0	3
N0.HOG0015054	34	0	6	7	2	49	0.693877551020408	0	0.122448979591837	0.142857142857143	0.0408163265306122	2
N0.HOG0015055	1	1	38	5	3	48	0.0208333333333333	0.0208333333333333	0.791666666666667	0.104166666666667	0.0625	3
N0.HOG0015056	34	0	3	8	2	47	0.723404255319149	0	0.0638297872340425	0.170212765957447	0.0425531914893617	2
N0.HOG0015057	21	2	8	21	1	53	0.39622641509434	0.0377358490566038	0.150943396226415	0.39622641509434	0.0188679245283019	1
N0.HOG0015060	1	3	35	2	2	43	0.0232558139534884	0.0697674418604651	0.813953488372093	0.0465116279069767	0.0465116279069767	3
N0.HOG0015061	35	2	5	4	1	47	0.74468085106383	0.0425531914893617	0.106382978723404	0.0851063829787234	0.0212765957446809	2
N0.HOG0015062	30	2	7	11	2	52	0.576923076923077	0.0384615384615385	0.134615384615385	0.211538461538462	0.0384615384615385	2
N0.HOG0015063	36	0	6	8	1	51	0.705882352941177	0	0.117647058823529	0.156862745098039	0.0196078431372549	2
N0.HOG0015064	28	2	9	7	0	46	0.608695652173913	0.0434782608695652	0.195652173913043	0.152173913043478	0	2
N0.HOG0015066	32	1	10	8	2	53	0.60377358490566	0.0188679245283019	0.188679245283019	0.150943396226415	0.0377358490566038	2
N0.HOG0015067	12	3	15	23	0	53	0.226415094339623	0.0566037735849057	0.283018867924528	0.433962264150943	0	1
N0.HOG0015068	9	3	24	15	1	52	0.173076923076923	0.0576923076923077	0.461538461538462	0.288461538461538	0.0192307692307692	1
N0.HOG0015069	0	2	37	0	7	46	0	0.0434782608695652	0.804347826086957	0	0.152173913043478	3
N0.HOG0015070	33	5	4	4	0	46	0.717391304347826	0.108695652173913	0.0869565217391304	0.0869565217391304	0	2
N0.HOG0015071	13	1	15	22	4	55	0.236363636363636	0.0181818181818182	0.272727272727273	0.4	0.0727272727272727	1
N0.HOG0015072	32	2	6	10	1	51	0.627450980392157	0.0392156862745098	0.117647058823529	0.196078431372549	0.0196078431372549	2
N0.HOG0015073	24	3	7	17	0	51	0.470588235294118	0.0588235294117647	0.137254901960784	0.333333333333333	0	1
N0.HOG0015074	8	2	15	20	6	51	0.156862745098039	0.0392156862745098	0.294117647058824	0.392156862745098	0.117647058823529	1
N0.HOG0015075	18	2	14	12	1	47	0.382978723404255	0.0425531914893617	0.297872340425532	0.25531914893617	0.0212765957446809	1
N0.HOG0015076	8	1	14	22	2	47	0.170212765957447	0.0212765957446809	0.297872340425532	0.468085106382979	0.0425531914893617	1
